Dataset,Size_MB,Num_Shapelet,Window_Size,Extract_Time_old,Extract_Time_new,Final_Loss_train_old,Final_Acc_train_old,Final_Loss_test_old,Final_Acc_test_old,Final_Loss_train_new,Final_Acc_train_new,Final_Loss_test_new,Final_Acc_test_new,num_candidate_old,num_candidate_new,num_candidate_after_round1
Adiac,1.45,10,30,978.4624,367.0936,0.0248,0.7656,0.0047,0.6726,0.0246,0.776,0.0047,0.6522,68250.0,68250.0,5328.0
ArrowHead,0.56,5,10,7.8084,6.2605,0.0265,1.0,0.0045,0.7943,0.0265,1.0,0.0046,0.7771,9000.0,9000.0,3762.0
Beef,0.3,2,10,9.7685,6.3877,0.0362,1.0,0.0284,0.8333,0.036,1.0,0.0287,0.8333,14070.0,14070.0,2820.0
BeetleFly,0.22,0.5,100,21.8953,10.1943,0.0326,1.0,0.0302,0.95,0.0326,1.0,0.0368,0.95,10220.0,10220.0,768.0
BirdChicken,0.22,1,100,28.3492,10.6915,0.0326,1.0,0.0467,0.9,0.0325,1.0,0.0507,1.0,10220.0,10220.0,1536.0
BME,0.2,0.05,10,2.729,1.4849,0.039,0.9667,0.0043,0.8933,0.0396,0.9667,0.0045,0.88,3810.0,3810.0,18.0
Car,0.73,1,100,239.234,83.9528,0.0319,1.0,0.0146,0.8167,0.0324,1.0,0.0145,0.8167,34560.0,34560.0,1728.0
CBF,1.27,10,30,5.6067,6.1717,0.0264,1.0,0.0005,0.9878,0.0264,1.0,0.0005,0.9844,3810.0,3810.0,2855.0
Chinatown,0.04,0.5,10,0.2438,0.479,0.0464,0.75,0.0017,0.8338,0.0496,0.85,0.0014,0.8921,460.0,460.0,36.0
Coffee,0.17,0.2,10,5.6958,2.5591,0.0238,1.0,0.0125,1.0,0.0234,1.0,0.0126,1.0,7980.0,7980.0,168.0
DiatomSizeReduction,1.17,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DistalPhalanxOutlineAgeGroup,0.45,2,10,192.9215,64.5299,0.0049,0.832,0.0053,0.741,0.0029,0.8575,0.0054,0.7482,31600.0,31600.0,477.0
DistalPhalanxOutlineCorrect,0.74,2,10,441.9523,108.298,0.0041,0.8837,0.0021,0.7464,0.0022,0.7891,0.0022,0.7391,47400.0,47400.0,480.0
DistalPhalanxTW,0.45,1,20,306.547,69.9108,0.0064,0.8242,0.0078,0.6835,0.0042,0.8075,0.0079,0.6691,31600.0,31600.0,234.0
ECG200,0.2,1,10,25.1699,8.544,0.0131,0.9375,0.005,0.84,0.013,0.9062,0.0053,0.84,9500.0,9500.0,288.0
ECGFiveDays,1.34,0.2,10,1.6054,1.0803,0.03,1.0,0.0004,0.9954,0.0299,1.0,0.0004,0.9791,3105.0,3105.0,84.0
FaceFour,0.42,0.5,20,6.9972,3.1699,0.0365,1.0,0.0064,0.9659,0.0363,1.0,0.0067,0.9545,8376.0,8376.0,528.0
Fish,1.71,0.1,20,370.053,96.9767,0.0245,0.9167,0.0053,0.84,0.0241,0.9479,0.0053,0.84,80850.0,80850.0,147.0
GunPoint,0.32,5,10,9.2847,3.3696,0.0206,1.0,0.0025,0.9733,0.0223,1.0,0.0026,0.98,7450.0,7450.0,2250.0
GunPointAgeSpan,0.64,10,10,42.5436,26.7874,0.0186,0.9296,0.0014,0.9367,0.0181,0.9437,0.0014,0.9399,20115.0,20115.0,4500.0
GunPointMaleVersusFemale,0.64,1,50,124.3799,32.2407,0.0145,1.0,0.0011,0.9905,0.0144,1.0,0.0011,0.9968,20115.0,20115.0,450.0
GunPointOldVersusYoung,0.64,5,20,70.4693,29.072,0.0171,0.9306,0.0014,0.9429,0.0173,0.9028,0.0015,0.9492,20264.0,20264.0,2250.0
Ham,1.01,0.1,10,86.4775,24.0304,0.017,0.8125,0.0059,0.7238,0.0171,0.7969,0.0064,0.6857,46870.0,46870.0,132.0
Herring,0.69,0.2,10,40.5211,12.0212,0.03,0.9062,0.0108,0.7188,0.0271,0.9688,0.0125,0.7031,32704.0,32704.0,306.0
HouseTwenty,1.27,5,10,69.4814,39.3442,0.1619,1.0,0.0367,0.8992,0.0973,0.9688,0.018,0.8908,79960.0,79960.0,30000.0
InsectEPGRegularTrain,1.43,0.05,10,41.0079,11.2148,0.0326,0.9062,0.003,0.739,0.0316,1.0,0.0033,0.7108,37200.0,37200.0,90.0
InsectEPGSmallTrain,1.22,0.05,10,2.0588,1.7243,0.07,0.7647,0.0041,0.5743,0.0566,1.0,0.0038,0.6345,10200.0,10200.0,90.0
ItalyPowerDemand,0.28,5,10,2.177,1.779,0.0292,1.0,0.0004,0.967,0.029,1.0,0.0004,0.9699,1541.0,1541.0,360.0
Lightning2,0.86,10,30,85.3761,107.466,0.0305,1.0,0.0202,0.7869,0.1702,0.5312,0.0715,0.7869,38160.0,38160.0,19110.0
Lightning7,0.51,2,20,38.715,18.0159,0.0417,1.0,0.0149,0.7808,0.0409,1.0,0.0143,0.7945,22260.0,22260.0,1911.0
Meat,0.59,0.2,10,29.4965,10.8114,0.0262,1.0,0.0084,0.9667,0.0268,1.0,0.0081,1.0,26820.0,26820.0,270.0
MedicalImages,1.24,10,10,209.1954,77.2086,0.0134,0.8594,0.0015,0.7487,0.0134,0.8698,0.0015,0.7461,37338.0,37338.0,2970.0
MiddlePhalanxOutlineAgeGroup,0.47,0.1,30,332.0205,70.7603,0.0073,0.5977,0.0067,0.513,0.0043,0.595,0.0081,0.2208,31600.0,31600.0,27.0
MiddlePhalanxOutlineCorrect,0.75,10,10,391.0494,117.7992,0.004,0.8663,0.0018,0.8007,0.0019,0.8555,0.0018,0.8007,47400.0,47400.0,2400.0
MiddlePhalanxTW,0.47,0.5,30,328.0586,79.0847,0.0183,0.625,0.0084,0.5714,0.0178,0.6146,0.0082,0.5974,31521.0,31521.0,126.0
MoteStrain,1.14,1,30,0.9869,0.9459,0.0344,1.0,0.0004,0.8826,0.0331,1.0,0.0004,0.8906,1660.0,1660.0,252.0
OliveOil,0.38,2,20,16.1205,11.2674,0.0338,0.9667,0.0214,0.9667,0.0329,1.0,0.021,0.9667,17070.0,17070.0,3420.0
Plane,0.32,0.05,10,27.6873,9.5228,0.0256,0.9688,0.0087,0.9619,0.0222,0.9844,0.0076,0.9238,15015.0,15015.0,21.0
PowerCons,0.24,0.2,10,77.8704,19.49,0.0133,0.8958,0.0024,0.9389,0.0123,0.9583,0.0023,0.9444,25740.0,25740.0,84.0
ProximalPhalanxOutlineAgeGroup,0.51,5,20,254.4524,73.3684,0.0055,0.8047,0.0035,0.8732,0.0028,0.845,0.0031,0.8732,31600.0,31600.0,1197.0
ProximalPhalanxOutlineCorrect,0.75,0.5,30,748.8502,156.6945,0.0051,0.7849,0.0018,0.8247,0.0022,0.7793,0.0018,0.811,47400.0,47400.0,120.0
ProximalPhalanxTW,0.51,2,10,177.9099,50.9844,0.006,0.8398,0.0044,0.8098,0.0037,0.8675,0.0044,0.8,31600.0,31600.0,486.0
Rock,1.36,0.5,10,38.2351,12.7991,0.0437,1.0,0.0168,0.92,0.0437,1.0,0.0166,0.9,56860.0,56860.0,4272.0
ShapeletSim,1.05,0.05,100,20.5024,9.0581,0.0473,0.85,0.0035,0.7,0.0533,0.8,0.0036,0.6,9980.0,9980.0,72.0
SmoothSubspace,0.05,1,5,1.6268,1.2162,0.0208,0.907,0.0042,0.9133,0.0213,0.8953,0.0043,0.8867,2100.0,2100.0,45.0
SonyAIBORobotSurface1,0.46,5,10,0.5749,0.8852,0.0325,1.0,0.001,0.9218,0.0325,1.0,0.001,0.9301,1380.0,1380.0,817.0
SonyAIBORobotSurface2,0.7,1,30,1.1732,0.8895,0.0243,1.0,0.0005,0.9045,0.0242,1.0,0.0004,0.9213,1728.0,1728.0,192.0
SwedishLeaf,1.53,5,10,473.4996,167.3492,0.0065,0.9766,0.0015,0.9232,0.0038,0.92,0.0016,0.8992,63500.0,63500.0,1935.0
SyntheticControl,0.38,2,20,97.6465,34.1959,0.0111,0.9767,0.0021,0.97,0.011,0.9709,0.0021,0.97,17700.0,17700.0,360.0
ToeSegmentation1,0.8,1,100,40.7787,14.7413,0.0208,1.0,0.0022,0.9079,0.0206,1.0,0.0024,0.8947,11040.0,11040.0,828.0
ToeSegmentation2,0.62,5,100,41.486,32.5326,0.021,1.0,0.0039,0.9,0.0221,1.0,0.0038,0.8846,12312.0,12312.0,5148.0
Trace,0.58,0.2,30,107.9993,31.005,0.0219,0.8125,0.0074,0.75,0.0171,1.0,0.0058,0.95,27400.0,27400.0,168.0
TwoLeadECG,1.02,5,10,0.764,1.2438,0.0289,1.0,0.0004,0.9289,0.0289,1.0,0.0004,0.928,1863.0,1863.0,1230.0
UMD,0.25,2,30,7.1243,4.0726,0.0283,1.0,0.0041,0.8681,0.0281,1.0,0.0041,0.8889,5364.0,5364.0,900.0
Wine,0.28,5,10,13.6281,8.8194,0.0337,0.8125,0.0084,0.9444,0.0399,0.5625,0.0092,0.8889,13281.0,13281.0,3510.0
