Dataset,Size_MB,Num_Shapelet,Window_Size,Extract_Time_old,Extract_Time_new,Final_Loss_train_old,Final_Acc_train_old,Final_Loss_test_old,Final_Acc_test_old,Final_Loss_train_new,Final_Acc_train_new,Final_Loss_test_new,Final_Acc_test_new,num_candidate_old,num_candidate_new,num_candidate_after_round1
BeetleFly,0.22,0.5,100,21.8953,10.1943,0.0326,1.0,0.0302,0.95,0.0326,1.0,0.0368,0.95,10220.0,10220.0,768.0
BME,0.2,0.05,10,2.729,1.4849,0.039,0.9667,0.0043,0.8933,0.0396,0.9667,0.0045,0.88,3810.0,3810.0,18.0
Chinatown,0.04,0.5,10,0.2438,0.479,0.0464,0.75,0.0017,0.8338,0.0496,0.85,0.0014,0.8921,460.0,460.0,36.0
Coffee,0.17,0.2,10,5.6958,2.5591,0.0238,1.0,0.0125,1.0,0.0234,1.0,0.0126,1.0,7980.0,7980.0,168.0
ECGFiveDays,1.34,0.2,10,1.6054,1.0803,0.03,1.0,0.0004,0.9954,0.0299,1.0,0.0004,0.9791,3105.0,3105.0,84.0
FaceFour,0.42,0.5,20,6.9972,3.1699,0.0365,1.0,0.0064,0.9659,0.0363,1.0,0.0067,0.9545,8376.0,8376.0,528.0
Fish,1.71,0.1,20,370.053,96.9767,0.0245,0.9167,0.0053,0.84,0.0241,0.9479,0.0053,0.84,80850.0,80850.0,147.0
Ham,1.01,0.1,10,86.4775,24.0304,0.017,0.8125,0.0059,0.7238,0.0171,0.7969,0.0064,0.6857,46870.0,46870.0,132.0
Herring,0.69,0.2,10,40.5211,12.0212,0.03,0.9062,0.0108,0.7188,0.0271,0.9688,0.0125,0.7031,32704.0,32704.0,306.0
InsectEPGRegularTrain,1.43,0.05,10,41.0079,11.2148,0.0326,0.9062,0.003,0.739,0.0316,1.0,0.0033,0.7108,37200.0,37200.0,90.0
InsectEPGSmallTrain,1.22,0.05,10,2.0588,1.7243,0.07,0.7647,0.0041,0.5743,0.0566,1.0,0.0038,0.6345,10200.0,10200.0,90.0
Meat,0.59,0.2,10,29.4965,10.8114,0.0262,1.0,0.0084,0.9667,0.0268,1.0,0.0081,1.0,26820.0,26820.0,270.0
MiddlePhalanxOutlineAgeGroup,0.47,0.1,30,332.0205,70.7603,0.0073,0.5977,0.0067,0.513,0.0043,0.595,0.0081,0.2208,31600.0,31600.0,27.0
MiddlePhalanxTW,0.47,0.5,30,328.0586,79.0847,0.0183,0.625,0.0084,0.5714,0.0178,0.6146,0.0082,0.5974,31521.0,31521.0,126.0
Plane,0.32,0.05,10,27.6873,9.5228,0.0256,0.9688,0.0087,0.9619,0.0222,0.9844,0.0076,0.9238,15015.0,15015.0,21.0
PowerCons,0.24,0.2,10,77.8704,19.49,0.0133,0.8958,0.0024,0.9389,0.0123,0.9583,0.0023,0.9444,25740.0,25740.0,84.0
ProximalPhalanxOutlineCorrect,0.75,0.5,30,748.8502,156.6945,0.0051,0.7849,0.0018,0.8247,0.0022,0.7793,0.0018,0.811,47400.0,47400.0,120.0
Rock,1.36,0.5,10,38.2351,12.7991,0.0437,1.0,0.0168,0.92,0.0437,1.0,0.0166,0.9,56860.0,56860.0,4272.0
ShapeletSim,1.05,0.05,100,20.5024,9.0581,0.0473,0.85,0.0035,0.7,0.0533,0.8,0.0036,0.6,9980.0,9980.0,72.0
Trace,0.58,0.2,30,107.9993,31.005,0.0219,0.8125,0.0074,0.75,0.0171,1.0,0.0058,0.95,27400.0,27400.0,168.0
